CustomerID,PersonID,TerritoryID,BusinessEntityID,PersonType,name,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Name_1,CountryRegionCode,Group
11012,11663,1,11663,IN,Lauren M.Walker,8.99,2003-09-17Z,1968-01-18Z,M,75001-100000,F,2,0,Bachelors ,Management,1,2,Northwest,US,North America
11013,13873,1,13873,IN,Ian M.Jenkins,8.99,2003-10-15Z,1968-08-06Z,M,75001-100000,M,2,0,Bachelors ,Management,1,3,Northwest,US,North America
11014,2868,1,2868,IN,Sydney NULL.Bennett,54.48,2003-09-24Z,1968-05-09Z,S,75001-100000,F,3,0,Bachelors ,Management,0,3,Northwest,US,North America
11021,11489,1,11489,IN,Destiny NULL.Wilson,2261.98,2003-07-27Z,1978-09-03Z,S,25001-50000,F,0,0,Partial College,Skilled Manual,0,1,Northwest,US,North America
11022,6522,1,6522,IN,Ethan G.Zhang,2317.7,2003-07-24Z,1978-10-12Z,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11040,15080,1,15080,IN,Jesse NULL.Murphy,2332.98,2003-10-05Z,1977-08-01Z,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,2,Northwest,US,North America
11062,6096,1,6096,IN,Noah D.Powell,2281.98,2003-07-11Z,1975-09-02Z,M,25001-50000,M,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11063,8821,1,8821,IN,Angela NULL.Murphy,2354.97,2003-07-16Z,1975-04-07Z,S,25001-50000,F,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11066,19662,1,19662,IN,Grace T.Butler,41.69,2003-12-02Z,1973-11-27Z,M,50001-75000,F,0,0,Partial College,Professional,1,2,Northwest,US,North America
11067,16424,1,16424,IN,Caleb F.Carter,76.68,2004-02-19Z,1976-09-25Z,S,50001-75000,M,0,0,Partial College,Professional,1,2,Northwest,US,North America
11084,4281,1,4281,IN,Lucas NULL.Phillips,3066.34,2003-07-08Z,1957-09-12Z,S,75001-100000,M,2,0,Partial High School,Skilled Manual,0,2,Northwest,US,North America
11128,12533,1,12533,IN,Samantha NULL.Long,23.97,2003-12-21Z,1975-12-05Z,M,25001-50000,F,0,0,High School,Skilled Manual,1,1,Northwest,US,North America
11129,10538,1,10538,IN,Julia M.Wright,-2294.99,2002-02-06Z,1975-08-05Z,S,25001-50000,F,0,0,High School,Skilled Manual,1,1,Northwest,US,North America
11130,6801,1,6801,IN,Caroline L.Russell,32.71,2004-06-11Z,1980-01-06Z,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11133,7681,1,7681,IN,Angela NULL.Griffin,61.98,2004-07-02Z,1980-09-08Z,S,25001-50000,F,0,0,Partial High School,Clerical,0,2,Northwest,US,North America
11137,11395,1,11395,IN,Jasmine A.Taylor,38.99,2004-02-01Z,1978-07-20Z,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11144,4268,1,4268,IN,Edward NULL.Hernandez,2299.99,2003-07-29Z,1979-09-09Z,S,25001-50000,M,0,0,High School,Skilled Manual,0,2,Northwest,US,North America
11145,19848,1,19848,IN,Jasmine L.Coleman,2299.99,2003-07-29Z,1979-12-08Z,S,25001-50000,F,0,0,High School,Skilled Manual,0,2,Northwest,US,North America
11152,17585,1,17585,IN,James J.Williams,-2294.99,2003-07-13Z,1976-01-10Z,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11153,8391,1,8391,IN,Angela R.James,101.79,2003-09-30Z,1976-06-23Z,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11154,11703,1,11703,IN,Megan G.Walker,-2319.99,2003-07-14Z,1976-08-21Z,S,25001-50000,F,0,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11157,13038,1,13038,IN,Hannah E.Long,-31.01,2004-01-25Z,1975-06-11Z,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,Northwest,US,North America
11166,12441,1,12441,IN,Ashley NULL.Martinez,34.98,2004-04-16Z,1972-04-24Z,S,50001-75000,F,0,0,Partial College,Skilled Manual,0,2,Northwest,US,North America
11167,19844,1,19844,IN,Jasmine J.Barnes,3002.34,2003-07-11Z,1972-08-01Z,S,75001-100000,F,0,0,Bachelors ,Management,0,1,Northwest,US,North America
11170,3164,1,3164,IN,Carol T.Howard,143.66,2004-02-27Z,1968-02-05Z,M,75001-100000,F,4,4,Bachelors ,Management,1,1,Northwest,US,North America
11172,10282,1,10282,IN,Gabrielle J.Adams,23.97,2003-11-04Z,1967-11-21Z,M,75001-100000,F,1,0,Bachelors ,Management,1,2,Northwest,US,North America
11173,12474,1,12474,IN,Sarah F.Thomas,-31.01,2003-09-03Z,1967-09-01Z,S,greater than 100000,F,0,0,Graduate Degree,Management,0,4,Northwest,US,North America
11182,3087,1,3087,IN,Stephanie NULL.Torres,41.69,2004-02-29Z,1944-08-25Z,S,50001-75000,F,4,0,Bachelors ,Management,1,2,Northwest,US,North America
11187,20457,1,20457,IN,Jennifer S.Cooper,-24.51,2003-10-05Z,1944-02-22Z,M,50001-75000,F,4,0,Graduate Degree,Management,1,2,Northwest,US,North America
11189,14459,1,14459,IN,Lawrence W.Blanco,-1221.31,2002-02-26Z,1944-07-15Z,S,50001-75000,M,4,0,Graduate Degree,Management,1,2,Northwest,US,North America
11192,17599,1,17599,IN,James C.Brown,8.99,2003-12-25Z,1945-09-13Z,M,50001-75000,M,4,0,Bachelors ,Management,1,2,Northwest,US,North America
11193,14519,1,14519,IN,Ian A.Gray,-31.01,2003-08-29Z,1945-02-13Z,M,50001-75000,M,4,0,Bachelors ,Management,1,2,Northwest,US,North America
11195,19140,1,19140,IN,Megan NULL.Henderson,76.68,2003-10-16Z,1946-02-10Z,M,50001-75000,F,5,0,Bachelors ,Management,1,3,Northwest,US,North America
11196,2800,1,2800,IN,Alfredo NULL.Romero,-80.01,2003-09-04Z,1946-06-07Z,M,50001-75000,M,5,0,Bachelors ,Management,1,3,Northwest,US,North America
11197,9000,1,9000,IN,Andrea NULL.Morris,-112.73,2003-11-03Z,1946-06-18Z,M,50001-75000,F,3,1,Bachelors ,Management,0,1,Northwest,US,North America
11204,20019,1,20019,IN,Destiny C.Rivera,5,2004-02-10Z,1948-06-01Z,M,25001-50000,F,2,1,High School,Professional,1,2,Northwest,US,North America
11205,18028,1,18028,IN,Abby NULL.Fernandez,-2.29,2004-01-28Z,1948-07-24Z,M,25001-50000,F,2,1,High School,Professional,1,2,Northwest,US,North America
11206,13604,1,13604,IN,Blake NULL.Flores,5,2003-11-12Z,1948-09-24Z,M,50001-75000,M,2,1,Partial College,Professional,1,1,Northwest,US,North America
11207,8512,1,8512,IN,Danielle NULL.Cox,5,2003-08-04Z,1948-07-19Z,S,50001-75000,F,2,1,Partial College,Professional,1,1,Northwest,US,North America
11213,3074,1,3074,IN,Stephanie B.Murphy,5,2003-09-29Z,1949-05-14Z,S,50001-75000,F,2,1,Partial College,Professional,1,2,Northwest,US,North America
11214,4847,1,4847,IN,Charles O.Miller,37.7,2004-02-15Z,1949-11-07Z,S,50001-75000,M,2,1,Partial College,Professional,1,2,Northwest,US,North America
11216,19820,1,19820,IN,Jasmine A.Torres,-1243.29,2002-02-15Z,1950-05-20Z,S,50001-75000,F,2,1,Partial College,Professional,1,2,Northwest,US,North America
11217,10262,1,10262,IN,Natalie P.Adams,-1258.28,2002-02-10Z,1950-02-11Z,S,50001-75000,F,2,1,Partial College,Professional,1,2,Northwest,US,North America
11218,11750,1,11750,IN,Olivia NULL.Brown,32.71,2003-09-01Z,1950-09-11Z,S,50001-75000,F,2,1,Partial College,Professional,0,2,Northwest,US,North America
11219,15531,1,15531,IN,Charles NULL.Cook,32.71,2004-05-01Z,1950-12-02Z,M,50001-75000,M,2,1,High School,Professional,1,2,Northwest,US,North America
11224,2656,1,2656,IN,Tiffany J.Li,3002.35,2002-02-07Z,1951-09-06Z,S,50001-75000,F,2,1,High School,Professional,1,2,Northwest,US,North America
11225,12350,1,12350,IN,Madison D.Lee,59.68,2003-12-24Z,1951-02-16Z,M,50001-75000,F,2,1,Partial College,Professional,1,1,Northwest,US,North America
11226,2873,1,2873,IN,Sydney T.Ross,-2.29,2003-08-25Z,1951-09-27Z,M,50001-75000,F,2,1,Partial College,Professional,1,1,Northwest,US,North America
11231,17885,1,17885,IN,Dennis NULL.Zhang,37.7,2003-08-14Z,1952-11-14Z,M,50001-75000,M,2,1,High School,Professional,1,2,Northwest,US,North America
11232,3210,1,3210,IN,Hailey R.Bryant,32.71,2004-03-23Z,1952-09-27Z,M,50001-75000,F,3,1,High School,Professional,0,2,Northwest,US,North America
11235,15802,1,15802,IN,Angel J.Stewart,54.48,2004-01-05Z,1952-02-08Z,M,50001-75000,M,4,2,Partial College,Professional,1,2,Northwest,US,North America
11236,13521,1,13521,IN,Jeremy NULL.Butler,8.99,2004-04-05Z,1952-03-05Z,S,50001-75000,M,5,2,Partial College,Professional,1,2,Northwest,US,North America
11254,15887,1,15887,IN,Johnathan W.Vance,70.44,2004-05-26Z,1933-03-03Z,M,50001-75000,M,4,0,Graduate Degree,Management,1,2,Northwest,US,North America
11255,13436,1,13436,IN,Colin NULL.Lin,8.99,2003-08-27Z,1933-04-04Z,M,50001-75000,M,4,0,Graduate Degree,Management,1,2,Northwest,US,North America
11256,10472,1,10472,IN,Katelyn L.Hernandez,8.99,2003-10-17Z,1933-09-20Z,M,50001-75000,F,4,0,Graduate Degree,Management,1,2,Northwest,US,North America
11259,19376,1,19376,IN,Victoria C.Stewart,2917.34,2002-03-07Z,1965-03-27Z,M,75001-100000,F,4,1,Partial College,Professional,1,4,Northwest,US,North America
